Ad_1,Ad_2,Similarity,Manual_Decision,Notes,Text_Ad_1,Text_Ad_2
006,021,0.787,YES,,weal ri it s nearly a year since the pandemic began and many of us have spent a long time feeling sc,veal ri it s nearly a year since the pandemic began and many of us have spent a long time feeling sc
023,104,0.818,YES,,do you know the symptoms of ovarian cancer persistent bloated tummy always feeling full tummy pain n,do you know the symptoms ofovarian cancer pq persistent bloated tummy always feeling full tummy pain
042,045,0.83,YES,,with a gift in your will you can be a lifesaver for families devastated by dementia ead £ sf wie ea ,with a gift in your will you can be a lifesaver for families devastated by dementia over the next th
048,052,0.81,YES,,together we are unstoppable no matter where we are the virus has affected us all unicef is fighting ,together we are ippable no matter where we are the virus has affected us all unicef is fighting back
048,119,0.769,YES,,together we are unstoppable no matter where we are the virus has affected us all unicef is fighting ,together we are unstoppable no matter where we are the virus has affected us all unicef is fighting 
092,158,0.833,YES,,u os dosyom yeg aslluduajuyz poomm uojuew aujzua uolyn os eeqg ayyl ply uelystsyd xsnn jvav ghly sn ,oss dosyom yeg aslluduajuyz poomm uojuew aujzua uolyn os e eqg ayyl ply uelystsyd xsnn jvav ghly sn 
095,099,0.787,YES,,y ue ag ane pae sin zai agift in your will é cc oe s my protection at sea s matt church volunteer cr,> ts pl a es al tei tt ite rn ts thee +> se ee eee = ¥ ghex fy se bu ees inyour will ag s my protect
095,335,0.801,YES,,y ue ag ane pae sin zai agift in your will é cc oe s my protection at sea s matt church volunteer cr,s my pruilui fa matt church volunteer crew member penarth lifeboat station ame a un at ota pn we eh 
097,100,0.822,YES,,yemen emergency appeal severe what is happening in yemen yemen is the midst of civil war after six y,yemen emergency appeal medecins sans frontieres doctors without borders msf anaesthetist lenka cerve
108,230,0.761,YES,,freepost rtlx bayt ulhb tree aid brunswick court brunswick square bristol pala ually could plant two,matching your freepost rtlx bayt ulhb tree aid brunswick court brunswick square bristol peale llth c
123,142,0.806,YES,,yemen on = the brink of famine give £ now to help displaced families buy the food and essentials tha,yemen on the brink of famine give £ now to help displaced families buy the food and essentials that 
123,164,0.753,YES,,yemen on = the brink of famine give £ now to help displaced families buy the food and essentials tha,give now at yemen on the brink of famine give £ now to help displaced families buy the food and esse
123,178,0.84,YES,,yemen on = the brink of famine give £ now to help displaced families buy the food and essentials tha,yemen on the brink of famine give £ now to help displaced families buy the food and essentials that 
130,133,0.751,YES,,aun disasters nn ae cece india crisis = g te e ey ya ¥ se © a zi > for © fae bd ¢ les ~ a surge of c,disasters emergency india crisis sj committee pport india donate now j su ¥ a sie a surge of coronav
132,164,0.784,YES,,ye er e mm on th f= uneebuneesiirg aik helpyemen ing ra n k of eam j n a call or fill in and return ,give now at yemen on the brink of famine give £ now to help displaced families buy the food and esse
133,144,0.828,YES,,disasters emergency india crisis sj committee pport india donate now j su ¥ a sie a surge of coronav,disasters emergency india crisis zz committee support india donate now wa one al vost a surge of cor
133,162,0.792,YES,,disasters emergency india crisis sj committee pport india donate now j su ¥ a sie a surge of coronav,disasters > m u emergency india crisis y committee we ale donate now y a gure of coronavirus is deva
138,162,0.761,YES,,disasters i emergency india crisis wy committee ee support india donate now ¢ s p reuigo of coronavi,disasters > m u emergency india crisis y committee we ale donate now y a gure of coronavirus is deva
142,164,0.769,YES,,yemen on the brink of famine give £ now to help displaced families buy the food and essentials that ,give now at yemen on the brink of famine give £ now to help displaced families buy the food and esse
142,178,0.848,YES,,yemen on the brink of famine give £ now to help displaced families buy the food and essentials that ,yemen on the brink of famine give £ now to help displaced families buy the food and essentials that 
144,162,0.777,YES,,disasters emergency india crisis zz committee support india donate now wa one al vost a surge of cor,disasters > m u emergency india crisis y committee we ale donate now y a gure of coronavirus is deva
152,159,0.766,YES,,as covid surges is gasping for breath a deadly wave of covid is surging through india over million c,as covid surges india is gasping for breath a deadly wave of covid is surging through india over mil
152,171,0.845,YES,,as covid surges is gasping for breath a deadly wave of covid is surging through india over million c,as covid surges india is gasping for breath a deadly wave of covid is surging through india over mil
164,178,0.814,YES,,give now at yemen on the brink of famine give £ now to help displaced families buy the food and esse,yemen on the brink of famine give £ now to help displaced families buy the food and essentials that 
173,186,0.755,YES,,dad s bia oe is ~ killing feelings of contusion desperation and isolation dont just affect people wi,dad dementia killing feelings of confusion desperation and isolation don t just affect people with d
191,199,0.815,YES,,gaza emergency appeal act now we must act now to support the most vulnerable people in gaza action t,people in gaza the recent violence has already claimed the lives of many people in gaza and destroye
201,219,0.837,YES,,e hue foe e i wes d i cou + >< fi ib ae x ee = ae oe oe ll s i a ie ~s a ~~ a a s > by ie se + ab os,lash cs iw ow a= amnesty international amnesty locked up for defending women s right to choose how t
209,217,0.821,YES,,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie
209,232,0.808,YES,,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie
209,240,0.772,YES,,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie
209,243,0.751,YES,,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie
217,232,0.75,YES,,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie
217,240,0.787,YES,,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie
217,243,0.787,YES,,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie
232,240,0.805,YES,,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie
232,243,0.791,YES,,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie
