Keep_ID,Remove_ID,Similarity,Keep_Preview,Remove_Preview,Duplicate,Notes
045,047,0.899,with a gift in your will you can be a lifesaver for families devastated by dementia over the next thirty years the pressures of dementia will push hun,with a gift in your will you can be a lifesaver for families devastated by dementia c r key ae é ee re he t lt so a over the next thirty years the pre,,
061,086,0.895,dementiaukk f£ l wr a i nae oo you can make a special tribute to your loved one and give the gift of life changing dementia support dementia uk provid,dementiauk you can make a special tribute to your loved one and give the gift of life changing dementia support dementia uk provides specialist dement,,
340,350,0.895,britishredcross afghanistan is in crisis we need your support readers the humanitarian need is huge please donate to our afghanistan crisis weeks of h,fe british redcross ghanistan is in crisis we need your support observer readers the humanitarian need is huge please donate to our afghanistan crisis,,
312,358,0.891,on distance anywher beat hunger everywhere choose from half sk tok marathon marathon put your foot down on uk hunger and join the race against hunger ,distance anywhere beat hunger everywhere choose from half put your foot down on uk hunger and join the race against hunger be the best that you can vi,,
342,346,0.891,i ba xnl gse lod m afghanistan is in crisis we need your support guardian readers million people need humanitarian help due to decades of conflict yea,britishredcross afghanistan is in crisis we need your support times readers million people need humanitarian help due to please donate to our afghanis,,
203,211,0.89,what will happen to our world in the future one thing is certain greenpeace will need to be there you can count on us to defend the natural world and ,what will happen to our world in the future one thing is certain greenpeace will need to be there you can count on us to defend the natural world and ,,
249,267,0.889,be medecins sans frontieres doctors without borders pregnant women and children are in desperate fed edica or oruha examines two month old muhammad ja,~ a oe bf i pe ~ i fe d m xne of ad medecins sans frontieres doctors without borders pregnant women an children a sin desperate alison criado perez ms,,
316,324,0.886,read th images stuart shore wight wildlife photography wtml john bridges cp ty fsc ponsible sources the woodland trust is a charity registered in engl,read th carol watkins wh i aie member since u ee é ad pe membership ~ matters join the woodland trust using the enclosed form or visit woodlandtrust o,,
280,285,0.882,for learning for confidence ® for a lifetime leaving a gift in your will can be life changing get your free rnib will guide today and see how you > ca,for learning for confidence for a lifetime leaving a gift in your will can be life changing get your free rnib will guide today and see how you can he,,
242,249,0.878,be medecins sans frontieres doctors without borders fed edica yemen emergency appeal alison criado perez msf nurse the conflict in yemen is now in its,be medecins sans frontieres doctors without borders pregnant women and children are in desperate fed edica or oruha examines two month old muhammad ja,,
326,358,0.875,distance anywhere beat hunger everywhere choose from half sk k waratthon stig ook i put your foot down on uk hunger and join the race against hunger b,distance anywhere beat hunger everywhere choose from half put your foot down on uk hunger and join the race against hunger be the best that you can vi,,
232,255,0.874,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to families fleeing the dreadful conflict violence in ethiop,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to families fleeing the dreadful conflict violence in ethiop,,
309,323,0.869,canine make sure your dog is cared for with a = dp icaaices care for my dog s dogs trust will you ve always done what you can to protect your four leg,s rr if receive a li oe <i a canine ~~ yn make sure your dog is cared for with a you ve always done what you can to protect your four legged friend an,,
104,141,0.868,do you know the symptoms ofovarian cancer pq persistent bloated tummy always feeling full tummy pain needing to wee more the sooner cancer is diagnose,do you know the symptoms of ovarian é al cancer persistent bloated tummy always feeling full tummy pain needing to wee more the sooner cancer is diagn,,
289,328,0.865,an open letter to guardian readers the people of yemen need your help for more than six years we ve lived under the shadow of war in some areas of the,an open letter to readers of the people of yemen need your help for more than six years we ve lived under the shadow of war in some areas of the count,,
316,336,0.865,read th images stuart shore wight wildlife photography wtml john bridges cp ty fsc ponsible sources the woodland trust is a charity registered in engl,trust ial > z f a a > ° a le nee s hd ae i you nee his images stuart shore wight wildlife photography wtml john bridges cp ty fsc ponsible sources the,,
340,346,0.863,britishredcross afghanistan is in crisis we need your support readers the humanitarian need is huge please donate to our afghanistan crisis weeks of h,britishredcross afghanistan is in crisis we need your support times readers million people need humanitarian help due to please donate to our afghanis,,
092,134,0.862,u os dosyom yeg aslluduajuyz poomm uojuew aujzua uolyn os eeqg ayyl ply uelystsyd xsnn jvav ghly sn d jssodaad i¢ wa stand against climate chaos help ,u os dosyom yeg aslluduajuyz poomm uojuew aujzua uolyn os eeqg ayyl ply uelystsyd xsnn jvav ghly sn d jssodaad i¢ wa stand against climate chaos help ,,
242,267,0.862,be medecins sans frontieres doctors without borders fed edica yemen emergency appeal alison criado perez msf nurse the conflict in yemen is now in its,~ a oe bf i pe ~ i fe d m xne of ad medecins sans frontieres doctors without borders pregnant women an children a sin desperate alison criado perez ms,,
310,334,0.862,fifty two million pounds a month we re asking every household to join in you can trust us wateraid we ll use your donations in the best way possible f,fifty two million pounds a month we re asking every household to join in you can trust us wateraid we ll use your donations in the best way possible f,,
209,213,0.861,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to families fleeing the dreadful conflict violence in ethiop,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to families fleeing the dreadful conflict violence in ethiop,,
209,255,0.858,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to families fleeing the dreadful conflict violence in ethiop,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to families fleeing the dreadful conflict violence in ethiop,,
289,325,0.858,an open letter to guardian readers the people of yemen need your help for more than six years we ve lived under the shadow of war in some areas of the,sitet geren uo~ xnz oseeolod™m advertisement an open letter to observer readers the people of yemen need your help for more than six years we ve lived,,
057,185,0.857,g ssina d here s why the gorillas urgently need your help organization he gorilla wail kahuzi biega congo organization rangers were tracking a family ,ssina d here s why the gorillas urgently need your help he organization gorilla mum kahuzi biega congo organization rangers were tracking a family of ,,
251,280,0.857,for learning for confidence for a lifetime leaving a gift in your will can be life changing get your free rnib will guide today and see how you an hel,for learning for confidence ® for a lifetime leaving a gift in your will can be life changing get your free rnib will guide today and see how you > ca,,
312,337,0.857,on distance anywher beat hunger everywhere choose from half sk tok marathon marathon put your foot down on uk hunger and join the race against hunger ,distance anywhere beat hunger everywhere choose from half sk tok warathon marathon put your foot down on uk hunger and join the race against hunger be,,
240,255,0.856,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to families fleeing the dreadful conflict violence in ethiop,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to families fleeing the dreadful conflict violence in ethiop,,
265,271,0.856,sie britishredcross ~ t t n d thi around the world covid has our new international relief had a catastrophic impact on fund has been set up in respons,the power es a ae of kindness observer readers we need you families and communities across the world are in danger we can help but we must act now sso,,
289,332,0.856,an open letter to guardian readers the people of yemen need your help for more than six years we ve lived under the shadow of war in some areas of the,an open letter to sunday mirror readers the people of yemen need your help for more than six years we ve lived under the shadow of war in some areas o,,
069,071,0.854,transforming lives in ethiopia ft mh there are over million as a result of violence in the tigray region of ethiopia eels ef wr nv a ww f fleein for t,to to donate £ transforming lives in ethiopia there are over million displaced people as a result of violence in the tigray region of ethiopia y® hae ,,
152,165,0.854,as covid surges is gasping for breath a deadly wave of covid is surging through india over million cases have been reported as the virus sweeps across,for every child as covid surges india is gasping for breath a deadly wave of covid is surging through india over million cases have been reported as t,,
198,215,0.853,i cy ome saving o ir planet begins with you cannabis envelope e registered with friends of the earth limited company number friends of uinidstnisinig ,icy owes saving or ir planet begins with you cacseiteiae thie envelope e registered with friends of the earth limited company number friends of uinids,,
299,330,0.853,maternalhealth therunaway backpack crisis in yemen oans tp noper peace prize = y oe gortins covid crisis inindia medecins sans frontieres doctors with,maternalhealth © therunaway crisisinyemen backpack covid crisis inindia without borders medecins sans frontieres doctors without borders médecins sans,,
104,207,0.851,do you know the symptoms ofovarian cancer pq persistent bloated tummy always feeling full tummy pain needing to wee more the sooner cancer is diagnose,do you know the symptoms of ovarian cancer persistent bloated tummy always feeling full tummy pain needing to wee more f the sooner cancer is diagnose,,
141,207,0.851,do you know the symptoms of ovarian é al cancer persistent bloated tummy always feeling full tummy pain needing to wee more the sooner cancer is diagn,do you know the symptoms of ovarian cancer persistent bloated tummy always feeling full tummy pain needing to wee more f the sooner cancer is diagnose,,
233,258,0.85,forget me not appeal will you show your support for people affected by dementia a thank you so much if you already support alzheimer s society and ple,will you show your support for people affected by dementia f thank you so much if you already forget me not appeal pr support alzheimer s society and ,,
